word,translation_cs
boost,posílení
booth,stánek
booty,kořist
booze,chlast
boozy,opilý
borax,borax
borne,nese
bosom,ňadra
bossy,panovačný
botch,fuška
bough,větev
boule,koule
bound,svázaný
bowel,střeva
boxer,boxer
brace,rovnátka
braid,cop
brain,mozek
brake,brzda
brand,značka
brash,drzý
brass,mosaz
brave,statečný
bravo,bravo
brawl,rvačka
brawn,tlačenka
bread,chleba
break,přestávka
breed,plemeno
briar,vřes
bribe,podplatit
brick,cihla
bride,nevěsta
brief,stručný
brine,solanka
bring,přinést
brink,okraj
briny,slaný
brisk,svižný
broad,široký
broil,grilovat
broke,zlomil
brood,plod
brook,potok
broom,koště
broth,vývar
brown,hnědé
brunt,nápor
brush,kartáč
brute,brutální
buddy,kamaráde
budge,pohnout
buggy,kočárek
bugle,polnice
build,stavět
built,postavený
bulge,boule
bulky,objemný
bully,tyran
bunch,parta
bunny,zajíček
burly,statný
burnt,spálený
burst,prasknout
bused,autobusem
bushy,huňatý
butch,butch
butte,zadek
buxom,buxom
buyer,kupující
bylaw,vyhláška
cabal,kabala
cabby,taxikář
cabin,kabina
cable,kabel
cacao,kakao
cache,cache
cacti,kaktusy
caddy,caddy
cadet,kadet
cagey,klečet
cairn,mohyla
camel,velbloud
cameo,portrét
canal,kanál
candy,cukroví
canny,mazaný
canoe,kánoe
canon,kánonu
caper,kapary
caput,caput
carat,karát
cargo,nákladu
carol,koleda
carry,nést
carve,vyřezávat
caste,kasta
catch,chytit
cater,obstarávat
catty,kočičí
caulk,utěsnit
cause,způsobit
cavil,kavil
cease,přestat
cedar,cedr
cello,violoncello
chafe,rozčilovat se
chaff,plevy
chain,řetěz
chair,židle
chalk,křída
champ,šampion
chant,zpívat
chaos,chaos
chard,mangold
charm,kouzlo
chart,graf
chase,honit
chasm,propast
cheap,levné
cheat,podvádět
check,zkontrolovat
cheek,tvář
cheer,fandit
chess,šachy
chest,hrudník
chick,kuřátko
chide,nadávat
chief,náčelník
child,dítě
chili,chilli
chill,chlad
chime,zvonkohra
china,čína
chirp,cvrlikání
chock,klín
choir,sbor
choke,dusit
chord,akord
chore,fuška
chose,vybral
chuck,sklíčidlo
chump,chump
chunk,kus
churn,stloukat
chute,skluz
cider,jablečný mošt
cigar,doutník
cinch,cinch
circa,cca
civic,občanský
civil,civilní
clack,klapat
claim,nárokovat
clamp,svorka
clang,cinkání
clank,řinčení
clash,střet
clasp,spona
class,třídy
clean,čisté
clear,jasné
cleat,zaklínit
cleft,rozštěp
clerk,úředník
click,klikněte
cliff,útes
climb,stoupat
cling,držet se
clink,cinkání
cloak,plášť
clock,hodiny
clone,klon
close,zavřít
cloth,plátno
cloud,mrak
clout,vliv
clove,hřebíček
clown,klaun
cluck,kvokat
clued,naznačeno
clump,shluk
clung,přilnul
coach,trenér
coast,pobřeží
cobra,kobra
cocoa,kakao
colon,dvojtečka
color,barva
comet,kometa
comfy,pohodlný
comic,komický
comma,čárka
conch,lastura
condo,byt
conic,kuželovitý
copse,mlází
coral,korálový
corer,jádrový
corny,banální
couch,gauč
cough,kašel
could,mohl
count,počítat
coupe,kupé
court,soudu
coven,coven
cover,kryt
covet,toužit
covey,covey
cower,krčit se
coyly,stydlivý
crack,prasknout
craft,řemeslo
cramp,křeč
crane,jeřáb
crank,klika
crash,havárie
crass,hrubý
crate,přepravka
crave,toužit
crawl,plazit se
craze,šílenství
crazy,šílený
creak,vrzat
cream,krém
credo,krédo
creed,vyznání
creek,potok
creep,plížit se
creme,krém
crepe,krep
crept,plížil se
cress,řeřicha
crest,hřeben
crick,crick
cried,vykřikl
crier,křikloun
crime,zločinu
crimp,krimpovat
crisp,ostrý
croak,kvákat
crock,crock
crone,babizna
crony,kamarád
crook,podvodník
cross,kříž
croup,zádi
crowd,dav
crown,koruna
crude,hrubý
cruel,krutý
crumb,drobek
crump,křupavý
crush,rozdrtit
crust,kůra
crypt,krypta
cubic,krychlový
cumin,kmín
curio,kuriozita
curly,kudrnatý
curry,kari
curse,prokletí
curve,křivka
curvy,křivky
cutie,roztomilý
cyber,kybernetické
cycle,cyklu
cynic,cynický
daddy,táta
daily,denně
dairy,mlékárna
daisy,sedmikráska
dally,potulovat se
dance,tanec
dandy,dandy
datum,datum
daunt,zastrašit
dealt,rozdáno
death,smrt
debar,debar
debit,debetní
debug,ladit
debut,debutovat
decal,obtisk
decay,rozpad
decor,výzdoba
decoy,návnada
decry,odsuzovat
defer,odložit
deign,navrhnout
deity,božstvo
delay,zpoždění
delta,delta
delve,ponořit se
demon,démon
demur,námitka
denim,džínovina
dense,hustý
depot,skladiště
depth,hloubka
derby,derby
deter,odrazovat
detox,detox
deuce,dvojka
devil,ďábel
diary,deník
dicey,kostkový
digit,číslice
dilly,dilly
dimly,matně
diner,strávník
dingo,dingo
dingy,špinavý
diode,dioda
dirge,žalozpěv
dirty,špinavý
disco,diskotéka
ditch,příkop
ditto,stejně
ditty,pitomý
diver,potápěč
dizzy,závratě
dodge,uhnout
dodgy,riskantní
dogma,dogma
doing,dělá
dolly,panenka
donor,dárce
donut,kobliha
dopey,ošklivý
doubt,pochybovat
dough,těsto
dowdy,špinavý
dowel,hmoždinka
downy,ochmýřený
dowry,věno
dozen,tucet
draft,návrh
drain,vypustit
drake,drake
drama,drama
drank,pil
drape,rouška
drawl,remíza
drawn,nakreslený
dread,děs
dream,sen
dress,šaty
dried,sušené
drier,sušší
drift,drift
drill,vrtat
drink,pít
drive,řídit
droit,droit
droll,droll
drone,dron
drool,slintat
droop,poklesnout
dross,struska
drove,řídil
drown,utopit
druid,druid
drunk,opilý
dryer,sušička
dryly,suše
duchy,vévodství
dully,nudně
dummy,figurína
dumpy,zavalitý
dunce,hlupák
dusky,šero
dusty,zaprášený
dutch,holandština
duvet,peřina
dwarf,trpaslík
dwell,přebývat
dwelt,bydlel
dying,umírání
eager,dychtivý
eagle,orel
early,brzy
earth,země
easel,stojan
eaten,najedený
eater,jedlík
ebony,ebenový
eclat,eclat
edict,edikt
edify,vzdělávat
eerie,děsivý
egret,volavka volavka
eight,osm
eject,vysunout
eking,eking
elate,povznášet
elbow,loket
elder,starší
elect,volit
elegy,elegie
elfin,skřítek
elide,elide
elite,elitní
elope,uprchnout
elude,uniknout
email,email
embed,vložit
ember,žhavý
emcee,moderátor
empty,prázdný
enact,uzákonit
endow,obdarovat
enema,klystýr
enemy,nepřítel
enjoy,užívat si
ennui,nudit se
ensue,následovat
enter,vstoupit
entry,vstup
envoy,vyslanec
epoch,epocha
epoxy,epoxid
equal,rovný
equip,vybavit
erase,vymazat
erect,vztyčený
erode,erodovat
error,chyba
erupt,vybuchnout
essay,esej
ester,ester
ether,ether
ethic,etika
ethos,étos
etude,etuda
evade,vyhýbat se
event,událost
every,každý
evict,vystěhovat
evoke,vyvolat
exact,přesné
exalt,povýšit
excel,excel
exert,vynaložit
exile,vyhnanství
exist,existovat
expel,vyhnat
extol,vychvalovat
extra,navíc
exult,jásat
eying,koukáním
fable,bajka
facet,aspekt
faint,mdloba
fairy,víla
faith,víra
false,falešný
fancy,fantazie
fanny,fanny
farce,fraška
fatal,fatální
fatty,mastný
fault,chyba
fauna,fauna
favor,laskavost
feast,hostina
fecal,fekální
feign,předstírat
fella,chlape
felon,zločinec
femme,femme
femur,stehenní kost
fence,plot
feral,divoký
ferry,trajekt
fetal,fetální
fetch,aport
fetid,páchnoucí
fetus,plod
fever,horečka
fewer,méně
fiber,vlákno
fibre,vlákno
ficus,fíkus
field,pole
fiend,ďábel
fiery,ohnivý
fifth,pátý
fifty,padesát
fight,bojovat
filer,pilník
filet,filet
filly,klisnička
filmy,filmový
filth,špína
final,konečná
finch,pěnkava
finer,jemnější
first,první
fishy,rybí
fixer,ustalovač
fizzy,šumivý
fjord,fjord
flack,flack
flail,cep
flair,vkus
flake,vločka
flaky,šupinatá
flame,plamen
flank,bok
flare,světlice
flash,blesk
flask,baňka
fleck,skvrnitost
fleet,flotila
flesh,maso
flick,švihnout
flier,leták
fling,hodit
flint,pazourek
flirt,flirtovat
float,plovák
flock,hejno
flood,povodeň
floor,patro
flora,flóra
floss,nit
flour,mouka
flout,fňukat
flown,létal
fluff,chmýří
fluid,tekutina
fluke,náhoda
flume,žlab
flung,hodil
flunk,propadnout
flush,spláchnout
flute,flétna
flyer,leták
foamy,pěnivý
focal,ohniskové
focus,zaměření
foggy,mlhavý
foist,podstrčit
folio,folio
folly,pošetilost
foray,nájezd
force,síla
forge,kovárna
forgo,vzdát se
forte,forte
forth,dále
forty,čtyřicet
forum,fórum
found,nalezeno
foyer,foyer
frail,křehký
frame,rám
frank,upřímný
fraud,podvod
freak,podivín
freed,osvobozen
freer,volnější
fresh,čerstvé
friar,mnich
fried,smažené
frill,límec
frisk,friskovat
fritz,fritz
frock,šaty
frond,vějířovitý list
front,přední
frost,mráz
froth,pěna
frown,zamračit se
froze,ztuhl
fruit,ovoce
fudge,fušovat
fugue,fuga
fully,plně
fungi,houby
funky,funky
funny,legrační
furor,rozhořčení
furry,chlupatý
fussy,vybíravý
fuzzy,neostrý
gaffe,gaffe
gaily,vesele
gamer,hráč
gamma,gama
gamut,gamut
gassy,plynný
gaudy,křiklavý
gauge,rozchod
gaunt,vychrtlý
gauze,gáza
gavel,kladívko
gawky,podivínský
gayer,gayer
gayly,vesele
gazer,hledač
gecko,gekončík
geeky,podivínský
geese,husy
genie,džin
genre,žánr
ghost,duch
ghoul,ghúl
giant,obří
giddy,závratný
gipsy,cikánský
girly,holčičí
girth,obvod
given,daný
giver,dárce
glade,paseka
gland,žláza
glare,oslnění
glass,sklo
glaze,glazura
gleam,lesknout se
glean,sbírat
glide,klouzat
glint,lesknout se
gloat,jásot
globe,zeměkoule
gloom,šero
glory,sláva
gloss,lesk
glove,rukavice
glyph,glyf
gnash,skřípat
gnome,skřítek
godly,zbožný
going,jít
golem,golem
golly,blázen
gonad,gonáda
goner,pryč
goody,dobrý
gooey,mazlavý
goofy,praštěný
goose,husa
gorge,soutěska
gouge,rýhovat
gourd,tykev
grace,milost
grade,stupeň
graft,štěp
grail,grál
grain,obilí
grand,velký
grant,grant
grape,hroznový
graph,graf
grasp,uchopit
grass,tráva
grate,rošt
grave,hrob
gravy,omáčka
graze,pást se
great,skvělé
greed,chamtivost
green,zelená
greet,pozdravit
grief,žal
grill,gril
grime,špína
grimy,špinavý
grind,brousit
gripe,reptání
groan,sténat
groin,třísla
groom,ženich
grope,tápat
gross,hrubý
group,skupina
grout,spárovací hmota
grove,háj
growl,vrčet
grown,dospělý
gruel,kaše
gruff,nevrlý
grunt,chrochtat
guard,stráž
guava,guava
guess,odhadnout
guest,host
guide,průvodce
guild,cechu
guile,lstivost
guilt,vina
guise,převlek
gulch,rokle
gully,rokle
gumbo,gumbo
gummy,gumový
guppy,guppy
gusto,chuť
gusty,nárazový
gypsy,cikánská
habit,zvyk
hairy,chlupatý
halve,rozpůlit
handy,šikovný
happy,šťastný
hardy,vytrvalý
harem,harém
harpy,harpyje
harry,Harry
harsh,drsný
haste,spěch
hasty,zbrklý
hatch,poklop
hater,nenávistník
haunt,strašit
haute,haute
haven,útočiště
havoc,zmatek
hazel,líska
heady,opojný
heard,slyšeli
heart,srdce
heath,vřesoviště
heave,zvednout
heavy,těžký
hedge,živý plot
hefty,statný
heist,loupež
helix,šroubovice
hello,ahoj
hence,odtud
heron,volavka
hilly,kopcovitý
hinge,pant
hippo,hroch
hippy,hippie
hitch,závěs
hoard,hromadit
hobby,koníčkem
hoist,kladkostroj
holly,cesmína
homer,homer
honey,zlato
honor,čest
horde,horda
horny,nadržený
horse,koně
hotel,hotel
hotly,žhavě
hound,ohaře
house,dům
hovel,chatrč
hover,vznášet se
howdy,Dobrý den
human,člověk
humid,vlhké
humor,humor
humph,hrb
humus,humus
hunch,tušení
hunky,tlustý
hurry,pospěš si
husky,husky
hussy,hussy
hutch,bouda
hydro,hydro
hyena,hyena
hymen,panenská blána
hyper,hyperaktivní
icily,ledově
icing,námraza
ideal,ideální
idiom,idiom
idiot,idiot
idler,nečinný
idyll,idyla
igloo,iglú
iliac,iliakální
image,obrázek
imbue,naplnit
impel,pohánět
imply,naznačovat
inane,hloupý
inbox,Doručená pošta
incur,způsobit
index,index
inept,neschopný
inert,inertní
infer,usuzovat
ingot,ingot
inlay,intarzie
inlet,vtok
inner,vnitřní
input,vstup
inter,inter
intro,úvod
ionic,iontový
irate,rozzlobený
irony,ironie
islet,ostrůvek
issue,problém
itchy,svědění
ivory,slonovina
jaunt,výlet
jazzy,jazzový
jelly,želé
jerky,trhavý
jetty,molo
jewel,klenot
jiffy,mžik
joint,kloub
joist,trám
joker,vtipálek
jolly,veselý
joust,klání
judge,soudit
juice,šťáva
juicy,šťavnaté
jumbo,jumbo
jumpy,nervózní
junta,junta
junto,junto
juror,porotce
kappa,kappa
karma,karma
kayak,kajak
kebab,kebab
khaki,khaki
kinky,výstřední
kiosk,kiosek
kitty,kočička
knack,talent
knave,darebák
knead,hníst
kneed,poklekl
kneel,pokleknout
knelt,poklekl
knife,nůž
knock,zaklepat
knoll,pahorek
known,známý
koala,koala
krill,krill
label,štítek
labor,práce
laden,naložený
ladle,naběračka
lager,ležák
lance,kopí
lanky,vytáhlý
lapel,klopa
lapse,propadnout
large,velký
larva,larva
lasso,laso
latch,západka
later,později
lathe,soustruh
latte,latte
laugh,smát se
layer,vrstva
leach,vyluhovat
leafy,listnatý
leaky,děravý
leant,naklonit se
leapt,vyskočil
learn,učit se
lease,pronájem
leash,vodítko
least,nejméně
leave,odejít
ledge,římsa
leech,pijavice
leery,pochybující
lefty,levák
legal,legální
leggy,nohatý
lemon,citron
lemur,lemur
leper,malomocný
level,úroveň
lever,páka
libel,pomluva
liege,léno
light,světlo
liken,připodobnit
lilac,šeřík
limbo,limbo
limit,limit
linen,prádlo
liner,vložka
lingo,žargon
lipid,lipid
lithe,pružný
liver,játra
livid,rozzuřený
llama,lama
loamy,hlinitý
loath,nechuť
lobby,lobby
local,místní
locus,lokus
lodge,lóže
lofty,vznešený
logic,logika
login,přihlášení
loopy,smyčkový
loose,volný
lorry,nákladní automobil
loser,poražený
louse,veš
lousy,mizerný
lover,milenec
lower,nižší
lowly,poníženě
loyal,loajální
lucid,přehledný
lucky,štěstí
lumen,lumen
lumpy,hrudkovitý
lunar,lunární
lunch,oběd
lunge,výpad
lupus,lupus
lurch,kývat se
lurid,odporný
lusty,chtivý
lying,lhaní
lymph,lymfy
lynch,lynčovat
lyric,lyrika
macaw,ara
macho,macho
macro,makro
madam,madam
madly,šíleně
mafia,mafie
magic,magie
magma,magma
maize,kukuřice
major,hlavní
maker,výrobce
mambo,mambo
mamma,máma
mammy,maminka
manga,manga
mange,svrab
mango,mango
mangy,mangy
mania,mánie
manic,maniakální
manly,mužný
manor,panství
maple,javor
march,pochod
marry,oženit se
marsh,bažina
mason,zedník
masse,mše
match,zápas
matey,matey
mauve,fialová
maxim,max
maybe,možná
mayor,starosta
mealy,moučný
meant,znamenalo
meaty,masitý
mecca,Mekka
medal,medaile
media,média
medic,zdravotník
melee,boj zblízka
melon,meloun
mercy,milosrdenství
merge,sloučit
merit,zásluhy
merry,veselý
metal,kov
meter,metr
metro,metro
micro,mikro
midge,pakomár
midst,uprostřed
might,možná
milky,mléčný
mimic,napodobovat
mince,sekat
miner,horník
minim,minimální
minor,nezletilý
minty,mátový
minus,mínus
mirth,veselí
miser,lakomec
missy,slečno
mocha,moka
modal,modální
model,model
modem,modem
mogul,magnát
moist,vlhký
molar,molár
moldy,plesnivý
money,peníze
month,měsíc
moody,náladový
moose,los
moral,morální
moron,pitomec
morph,morf
mossy,mechový
motel,motel
motif,motiv
motor,motor
motto,motto
moult,línat
mound,mohyla
mount,namontovat
mourn,truchlit
mouse,myš
mouth,ústa
mover,stěhovák
movie,film
mower,sekačka
mucky,mucky
mucus,hlen
muddy,zablácený
mulch,mulčovat
mummy,mumie
munch,žvýkat
mural,nástěnná malba
murky,kalný
mushy,kašovitý
music,hudba
musky,pižmový
musty,zatuchlý
myrrh,myrha
nadir,nadir
naive,naivní
nanny,chůva
nasal,nosní
nasty,ošklivý
natal,porodní
naval,námořní
navel,pupek
needy,potřebný
neigh,remcat
nerdy,hloupý
nerve,nerv
never,nikdy
newer,novější
newly,nově
nicer,hezčí
niche,výklenek
niece,neteř
night,noc
ninja,ninja
ninny,ninny
ninth,devátý
noble,ušlechtilý
nobly,vznešeně
noise,hluk
noisy,hlučný
nomad,kočovník
noose,oprátka
north,sever
nosey,zvědavý
notch,zářez
novel,román
nudge,šťouchnout
nurse,zdravotní sestra
nutty,ořechový
nylon,nylon
nymph,nymfa
oaken,dubový
obese,obézní
occur,dojít
ocean,oceán
octal,osmičkový
octet,oktet
odder,divnější
oddly,kupodivu
offal,droby
offer,nabídka
often,často
olden,starý
older,starší
olive,olivový
ombre,ombre
omega,omega
onion,cibule
onset,nástup
opera,opera
opine,mínit
opium,opium
optic,optika
orbit,oběžná dráha
order,řádu
organ,varhany
other,jiné
otter,vydra
ought,měl by
ounce,unce
outdo,překonat
outer,vnější
outgo,odejít
ovary,vaječníku
ovate,vejčitý
overt,zjevný
ovine,ovce
ovoid,vejčitý
owing,dlužno
owner,vlastník
oxide,oxid
ozone,ozón
paddy,neloupaná
pagan,pohanský
paint,malovat
paler,bledší
palsy,obrna
panel,panelu
panic,panika
pansy,maceška
papal,papežský
paper,papír
parer,parer
parka,parka
parry,odrazit
parse,rozebrat
party,večírek
pasta,těstoviny
paste,vložit
pasty,pastovitý
patch,náplast
patio,patio
patsy,patsy
patty,patty
pause,pauza
payee,příjemce platby
payer,plátce
peace,mír
peach,broskev
pearl,perla
pecan,pekan
pedal,pedál
penal,trestní
pence,pence
penne,penne
penny,penny
perch,okoun
peril,nebezpečí
perky,energický
pesky,otravný
pesto,pesto
petal,okvětní lístek
petty,malicherný
phase,fáze
phone,telefon
phony,falešný
photo,fotografie
piano,klavír
picky,vybíravý
piece,kus
piety,zbožnost
piggy,prasátko
pilot,pilot
pinch,štípnout
piney,piney
pinky,malíček
pinto,pinto
piper,dudák
pique,dráždit
pitch,hřiště
pithy,jadrný
pivot,pivot
pixel,pixel
pixie,skřítek
pizza,pizza
place,místo
plaid,pléd
plain,prostý
plait,pletenec
plane,letadlo
plank,prkno
plant,rostlina
plate,talíř
plaza,náměstí
plead,prosit
pleat,záhyb
plied,plied
plier,kleště
pluck,trhat
plumb,olovnice
plume,vlečka
plump,baculatý
plunk,plunk
plush,plyšový
poesy,poezie
point,bod
poise,postoj
poker,poker
polar,polární
polka,polka
polyp,polyp
pooch,čokl
poppy,mák
porch,veranda
poser,pozér
posit,klad
posse,posed
pouch,váček
pound,libra
pouty,našpulený
power,moc
prank,žert
prawn,kreveta
preen,preen
press,stiskněte
price,cena
prick,píchnout
pride,hrdost
pried,píchaný
prime,prvotřídní
primo,primo
print,tisknout
prior,předchozí
prism,hranol
privy,zasvěcený
prize,cenu
probe,sonda
prone,náchylný
prong,prong
proof,důkaz
prose,próza
proud,hrdý
prove,dokázat
prowl,slídit
proxy,proxy
prude,prudérní
prune,prořezávat
psalm,žalm
pubic,stydké
pudgy,zavalitý
puffy,nafouklý
pulpy,dužnatý
pulse,puls
punch,punč
pupal,kukla
pupil,žák
puppy,štěně
puree,pyré
purer,čistší
purge,očistit
purse,peněženka
pushy,dotěrný
putty,tmel
pygmy,pygmej
quack,kvákat
quail,křepelka
quake,zemětřesení
qualm,neklid
quark,kvark
quart,kvart
quash,zrušit
quasi,kvazi
queen,královna
queer,divný
quell,potlačit
query,dotaz
quest,hledání
queue,fronta
quick,rychle
quiet,tichý
quill,brk
quilt,přikrývka
quirk,vtípek
quite,docela
quota,kvóta
quote,citovat
quoth,citát
rabbi,rabín
rabid,vzteklý
racer,závodník
radar,radar
radii,poloměry
radio,rádio
rainy,deštivý
raise,zvýšit
rajah,rádža
rally,rally
ralph,ralph
ramen,ramen
ranch,ranč
randy,randy
range,dosah
rapid,rychlý
rarer,vzácnější
raspy,chraplavý
ratio,poměr
ratty,potrhlý
raven,havran
rayon,umělé hedvábí
razor,břitva
reach,dosah
react,reagovat
ready,připraven
realm,říše
rearm,přezbrojit
rebar,armatura
rebel,rebel
rebus,rébus
rebut,vyvrátit
recap,rekapitulovat
recur,opakovat se
recut,přeřezat
reedy,rákosovitý
refer,odkazovat
refit,předělat
regal,královský
rehab,rehabilitace
reign,vládnout
relax,relaxovat
relay,relé
relic,relikvie
remit,odevzdat
renal,ledvinové
renew,obnovit
repay,splatit
repel,odpuzovat
reply,odpovědět
rerun,opakovat
reset,resetovat
resin,pryskyřice
retch,dávení
retro,retro
retry,opakovat
reuse,opětovné použití
revel,libovat si
revue,revue
rhino,nosorožec
rhyme,rýmovat
rider,jezdec
ridge,hřeben
rifle,puška
right,správně
rigid,tuhý
rigor,přísnost
rinse,opláchněte
ripen,dozrát
riper,zralejší
risen,vstal
riser,stoupačka
risky,riskantní
rival,soupeř
river,řeka
rivet,nýt
roach,plotice
roast,pečeně
robin,robin
robot,robot
rocky,skalnatý
rodeo,rodeo
roger,Roger
rogue,darebák
roomy,prostorný
roost,hřadovat
rotor,rotor
rouge,rouge
rough,drsný
round,kolo
rouse,vzbudit
route,trasa
rover,rover
rowdy,hlučný
rower,veslař
royal,královský
ruddy,rudý
ruder,hrubší
rugby,ragby
ruler,vládce
rumba,rumba
rumor,pověst
rupee,rupie
rural,venkovský
rusty,rezavý
sadly,bohužel
safer,bezpečnější
saint,svatý
salad,salát
sally,sally
salon,salon
salsa,salsa
salty,slaný
salve,mast
salvo,salva
sandy,písčitý
saner,rozumnější
sappy,sentimentální
sassy,drzý
satin,satén
satyr,satyr
sauce,omáčka
saucy,pikantní
sauna,sauna
saute,orestovat
savor,ochutnat
savoy,savojský
savvy,důvtipný
scald,opaření
scale,měřítko
scalp,pokožku hlavy
scaly,šupinatý
scamp,scamp
scant,skrovný
scare,vyděsit
scarf,šátek
scary,děsivý
scene,scéna
scent,vůně
scion,potomek
scoff,posmívat se
scold,nadávat
scone,koláček
scoop,naběračka
scope,rozsah
score,skóre
scorn,pohrdání
scour,čistit
scout,skaut
scowl,mračit se
scram,vybuchnout
scrap,šrot
scree,suť
screw,šroub
scrub,drhnout
scrum,skrumáž
scuba,potápění
sedan,sedan
seedy,sešlý
segue,segue
seize,zabavit
semen,sperma
sense,smysl
sepia,sépie
serif,patka
serum,sérum
serve,sloužit
setup,nastavení
seven,sedm
sever,oddělit
sewer,kanalizace
shack,chatrč
shade,stín
shady,stinný
shaft,hřídel
shake,protřepat
shaky,roztřesený
shale,břidlice
shall,bude
shalt,bude
shame,hanba
shank,stopka
shape,tvar
shard,střep
share,sdílet
shark,žralok
sharp,ostrý
shave,oholit
shawl,šátek
shear,smyk
sheen,lesk
sheep,ovce
sheer,naprostý
sheet,list
sheik,šejk
shelf,police
shell,skořápka
shied,ostýchal se
shift,posun
shine,svítit
shiny,lesklý
shire,hrabství
shirk,vyhýbat se
shirt,košile
shoal,hejno
shock,šok
shone,zářil
shook,otřásl
shoot,střílet
shore,pobřeží
shorn,ostříhaný
short,krátký
shout,křičet
shove,strčit
shown,zobrazeno
showy,okázalý
shrew,rejsek
shrub,keř
shrug,pokrčit rameny
shuck,šup
shunt,bočník
shush,ticho
shyly,stydlivě
siege,obležení
sieve,síto
sight,pohled
sigma,sigma
silky,hedvábný
silly,hloupé
since,od té doby
sinew,šlacha
singe,připálit
siren,siréna
sissy,sissy
sixth,šestý
sixty,šedesát
skate,bruslit
skier,lyžař
skiff,skif
skill,dovednost
skimp,šetřit
skirt,sukně
skulk,lebka
skull,lebka
skunk,skunk
slack,ochablý
slain,zabitý
slang,slang
slant,šikmo
slash,lomítko
slate,břidlice
slave,otrok
sleek,uhlazený
sleep,spát
sleet,plískanice
slept,spal
slice,plátek
slick,uhlazený
slide,snímek
slime,sliz
slimy,slizký
sling,prak
slink,slinka
sloop,šalupa
slope,sklon
slosh,flákat
sloth,lenochod
slump,propad
slung,hodil
slunk,propadlý
slurp,slintat
slush,rozbředlý sníh
